Autokennzeichen;Stadt/Ort;Landkreis/Gemeinde;Bundesland
HWI;Hansestadt Wismar;Stadt Wismar;"Mecklenburg-Vorpommern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Mecklenburg-Vorpommern.svg"" class=""flagfull"" alt=""Mecklenburg Vorpommern"" />"
HX;Höxter;Kreis Höxter;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
HY*;Hoyerswerda;Landkreis Bautzen;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
HZ;Harz;Landkreis Harz;"Sachsen-Anhalt <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen-Anhalt.svg"" class=""flagfull"" alt=""Sachsen-Anhalt"" />"
IGB;St. Ingbert;Stadt St. Ingbert;"Saarland <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Saarland.svg"" class=""flagfull"" alt=""Saarland"" />"
IK;Ilm-Kreis;Ilm-Kreis;"Thüringen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Thueringen.svg"" class=""flagfull"" alt=""Thüringen"" />"
IL*;Ilmenau;Ilm-Kreis;"Thüringen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Thueringen.svg"" class=""flagfull"" alt=""Thüringen"" />"
ILL*;Illertissen;Landkreis Neu-Ulm;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
IN;Ingolstadt;Stadt Ingolstadt;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
IZ;Itzehoe;Kreis Steinburg;"Schleswig-Holstein <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Schleswig-Holstein.svg"" class=""flagfull"" alt=""Schleswig-Holstein"" />"
J;Jena;Stadt Jena;"Thüringen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Thueringen.svg"" class=""flagfull"" alt=""Thüringen"" />"
JE*;Jessen (Elster);Landkreis Wittenberg;"Sachsen-Anhalt <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen-Anhalt.svg"" class=""flagfull"" alt=""Sachsen-Anhalt"" />"
JL;Jerichower Land;Landkreis Jerichower Land;"Sachsen-Anhalt <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen-Anhalt.svg"" class=""flagfull"" alt=""Sachsen-Anhalt"" />"
JÜL*;Jülich;Kreis Düren;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
K;Köln;Stadt Köln;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
KA;Karlsruhe;Stadt & Landkreis Karlsruhe;"Baden-Württemberg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Baden-Wuerttemberg.svg"" class=""flagfull"" alt=""Baden-Württemberg"" />"
KB;Korbach;Landkreis Waldeck-Frankenberg;"Hessen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Hessen.svg"" class=""flagfull"" alt=""Hessen"" />"
KC;Kronach;Landkreis Kronach;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
KE;Kempten;Stadt Kempten (Allgäu);"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
KEH;Kelheim;Landkreis Kelheim;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
KEM*;Kemnath;Landkreise Bayreuth & Tirschenreuth;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
KF;Kaufbeuren;Stadt Kaufbeuren;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
KG;Bad Kissingen;Landkreis Bad Kissingen;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
KH;Bad Kreuznach;Landkreis & Stadt Bad Kreuznach;"Rheinland-Pfalz <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Rheinland-Pfalz.svg"" class=""flagfull"" alt=""Rheinland-Pfalz"" />"
KI;Kiel;Stadt Kiel;"Schleswig-Holstein <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Schleswig-Holstein.svg"" class=""flagfull"" alt=""Schleswig-Holstein"" />"
KIB;Kirchheimbolanden;Donnersbergkreis;"Rheinland-Pfalz <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Rheinland-Pfalz.svg"" class=""flagfull"" alt=""Rheinland-Pfalz"" />"
KL;Kaiserslautern;Landkreis & Stadt Kaiserslautern;"Rheinland-Pfalz <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Rheinland-Pfalz.svg"" class=""flagfull"" alt=""Rheinland-Pfalz"" />"
KLE;Kleve;Kreis Kleve;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
KLZ*;Klötze;Altmarkkreis Salzwedel;"Sachsen-Anhalt <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen-Anhalt.svg"" class=""flagfull"" alt=""Sachsen-Anhalt"" />"
KM*;Kamenz;Landkreis Bautzen;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
KN;Konstanz;Landkreis Konstanz ohne Büsingen am Hochrhein;"Baden-Württemberg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Baden-Wuerttemberg.svg"" class=""flagfull"" alt=""Baden-Württemberg"" />"
KO;Koblenz;Stadt Koblenz;"Rheinland-Pfalz <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Rheinland-Pfalz.svg"" class=""flagfull"" alt=""Rheinland-Pfalz"" />"
KÖN*;Bad Königshofen im Grabfeld;Landkreis Rhön-Grabfeld;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
KÖT*;Köthen (Anhalt);Landkreis Anhalt-Bitterfeld;"Sachsen-Anhalt <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen-Anhalt.svg"" class=""flagfull"" alt=""Sachsen-Anhalt"" />"
KÖZ*;Kötzting;Landkreis Cham;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
KR;Krefeld;Stadt Krefeld;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
KRU*;Krumbach (Schwaben);Landkreis Günzburg;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
KS;Kassel;Stadt & Landkreis Kassel;"Hessen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Hessen.svg"" class=""flagfull"" alt=""Hessen"" />"
KT;Kitzingen;Landkreis Kitzingen;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
KU;Kulmbach;Landkreis Kulmbach;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
KÜN;Künzelsau;Hohenlohekreis;"Baden-Württemberg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Baden-Wuerttemberg.svg"" class=""flagfull"" alt=""Baden-Württemberg"" />"
KUS;Kusel;Landkreis Kusel;"Rheinland-Pfalz <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Rheinland-Pfalz.svg"" class=""flagfull"" alt=""Rheinland-Pfalz"" />"
KY*;Kyritz;Landkreis Ostprignitz-Ruppin;"Brandenburg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Brandenburg.svg"" class=""flagfull"" alt=""Brandenburg"" />"
KYF;Kyffhäuser;Kyffhäuserkreis;"Thüringen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Thueringen.svg"" class=""flagfull"" alt=""Thüringen"" />"
L;Leipzig;Stadt & Landkreis Leipzig;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
LA;Landshut;Landkreis & Stadt Landshut;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
LAU;Lauf an der Pegnitz;Landkreis Nürnberger Land;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
LB;Ludwigsburg;Landkreis Ludwigsburg;"Baden-Württemberg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Baden-Wuerttemberg.svg"" class=""flagfull"" alt=""Baden-Württemberg"" />"
LBS*;Bad Lobenstein;Saale-Orla-Kreis;"Thüringen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Thueringen.svg"" class=""flagfull"" alt=""Thüringen"" />"
LBZ*;Lübz;Landkreis Ludwigslust-Parchim;"Mecklenburg-Vorpommern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Mecklenburg-Vorpommern.svg"" class=""flagfull"" alt=""Mecklenburg Vorpommern"" />"
LD;Landau in der Pfalz;Stadt Landau in der Pfalz;"Rheinland-Pfalz <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Rheinland-Pfalz.svg"" class=""flagfull"" alt=""Rheinland-Pfalz"" />"
LDK;Lahn-Dill-Kreis;Lahn-Dill-Kreis ohne Wetzlar;"Hessen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Hessen.svg"" class=""flagfull"" alt=""Hessen"" />"
LDS;Landkreis Dahme-Spreewald;Landkreis Dahme-Spreewald;"Brandenburg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Brandenburg.svg"" class=""flagfull"" alt=""Brandenburg"" />"
LEO*;Leonberg;Landkreis Böblingen;"Baden-Württemberg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Baden-Wuerttemberg.svg"" class=""flagfull"" alt=""Baden-Württemberg"" />"
LER;Leer (Ostfriesland);Landkreis Leer;"Niedersachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Niedersachsen.svg"" class=""flagfull"" alt=""Niedersachsen"" />"
LEV;Leverkusen;Stadt Leverkusen;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
LG;Lüneburg;Landkreis Lüneburg;"Niedersachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Niedersachsen.svg"" class=""flagfull"" alt=""Niedersachsen"" />"
LI;Lindau am Bodensee;Landkreis Lindau am Bodensee;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
LIB*;Bad Liebenwerda;Landkreis Elbe-Elster;"Brandenburg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Brandenburg.svg"" class=""flagfull"" alt=""Brandenburg"" />"
LIF;Lichtenfels;Landkreis Lichtenfels;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
LIP;Lippe;Kreis Lippe;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
LL;Landsberg am Lech;Landkreis Landsberg am Lech;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
LM;Limburg an der Lahn;Landkreis Limburg-Weilburg;"Hessen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Hessen.svg"" class=""flagfull"" alt=""Hessen"" />"
LÖ;Lörrach;Landkreis Lörrach;"Baden-Württemberg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Baden-Wuerttemberg.svg"" class=""flagfull"" alt=""Baden-Württemberg"" />"
LÖB*;Löbau;Landkreis Görlitz;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
LOS;Landkreis Oder-Spree;Landkreis Oder-Spree;"Brandenburg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Brandenburg.svg"" class=""flagfull"" alt=""Brandenburg"" />"
LP*;Lippstadt;Kreis Soest;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
LRO;Landkreis Rostock;Landkreis Rostock;"Mecklenburg-Vorpommern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Mecklenburg-Vorpommern.svg"" class=""flagfull"" alt=""Mecklenburg Vorpommern"" />"
LSA;Land Sachsen-Anhalt;Landesregierung, Landtag und Polizei;"Sachsen-Anhalt <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen-Anhalt.svg"" class=""flagfull"" alt=""Sachsen-Anhalt"" />"
LSN;Land Sachsen;Landesregierung und Landtag;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
LSZ*;Bad Langensalza;Unstrut-Hainich-Kreis;"Thüringen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Thueringen.svg"" class=""flagfull"" alt=""Thüringen"" />"
LU;Ludwigshafen am Rhein;Stadt Ludwigshafen am Rhein;"Rheinland-Pfalz <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Rheinland-Pfalz.svg"" class=""flagfull"" alt=""Rheinland-Pfalz"" />"
LÜN*;Lünen;Kreis Unna;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
LUP;Ludwigslust-Parchim;Landkreis Ludwigslust-Parchim;"Mecklenburg-Vorpommern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Mecklenburg-Vorpommern.svg"" class=""flagfull"" alt=""Mecklenburg Vorpommern"" />"
LWL*;Ludwigslust;Landkreis Ludwigslust-Parchim;"Mecklenburg-Vorpommern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Mecklenburg-Vorpommern.svg"" class=""flagfull"" alt=""Mecklenburg Vorpommern"" />"
M;München;Stadt & Landkreis München;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
MA;Mannheim;Stadt Mannheim;"Baden-Württemberg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Baden-Wuerttemberg.svg"" class=""flagfull"" alt=""Baden-Württemberg"" />"
MAB*;Marienberg;Erzgebirgskreis;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
MAI*;Mainburg;Landkreis Kelheim;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
MAK*;Marktredwitz;Landkreis Wunsiedel im Fichtelgebirge;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
MB;Miesbach;Landkreis Miesbach;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
MC*;Malchin;Landkreis Mecklenburgische Seenplatte ohne Neubrandenburg;"Mecklenburg-Vorpommern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Mecklenburg-Vorpommern.svg"" class=""flagfull"" alt=""Mecklenburg Vorpommern"" />"
MD;Magdeburg;Stadt Magdeburg;"Sachsen-Anhalt <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen-Anhalt.svg"" class=""flagfull"" alt=""Sachsen-Anhalt"" />"
ME;Mettmann;Kreis Mettmann;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
MEI;Meißen;Landkreis Meißen;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
MEK;Mittlerer Erzgebirgskreis;Erzgebirgskreis;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
MER*;Merseburg;Saalekreis;"Sachsen-Anhalt <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen-Anhalt.svg"" class=""flagfull"" alt=""Sachsen-Anhalt"" />"
MET*;Mellrichstadt;Landkreis Rhön-Grabfeld;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
MG;Mönchengladbach;Stadt Mönchengladbach;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
MGN*;Meiningen;Landkreis Schmalkalden-Meiningen;"Thüringen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Thueringen.svg"" class=""flagfull"" alt=""Thüringen"" />"
MH;Mülheim an der Ruhr;Stadt Mülheim an der Ruhr;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
MHL*;Mühlhausen/Thüringen;Unstrut-Hainich-Kreis;"Thüringen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Thueringen.svg"" class=""flagfull"" alt=""Thüringen"" />"
MI;Minden;Kreis Minden-Lübbecke;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
MIL;Miltenberg;Landkreis Miltenberg;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
MK;Mark;Märkischer Kreis;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
MKK;Main-Kinzig-Kreis;Main-Kinzig-Kreis ohne Hanau;"Hessen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Hessen.svg"" class=""flagfull"" alt=""Hessen"" />"
ML;Mansfelder Land;Landkreis Mansfeld-Südharz;"Sachsen-Anhalt <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen-Anhalt.svg"" class=""flagfull"" alt=""Sachsen-Anhalt"" />"
MM;Memmingen;Stadt Memmingen;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
MN;Mindelheim;Landkreis Unterallgäu;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
MO;Moers;Kreis Wesel;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
MOD*;Marktoberdorf;Landkreis Ostallgäu;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
MOL;Märkisch-Oderland;Landkreis Märkisch-Oderland;"Brandenburg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Brandenburg.svg"" class=""flagfull"" alt=""Brandenburg"" />"
MON*;Monschau;Städteregion Aachen;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
MOS;Mosbach;Neckar-Odenwald-Kreis;"Baden-Württemberg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Baden-Wuerttemberg.svg"" class=""flagfull"" alt=""Baden-Württemberg"" />"
MQ;Merseburg-Querfurt;Saalekreis;"Sachsen-Anhalt <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen-Anhalt.svg"" class=""flagfull"" alt=""Sachsen-Anhalt"" />"
MR;Marburg-Biedenkopf;Landkreis Marburg-Biedenkopf;"Hessen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Hessen.svg"" class=""flagfull"" alt=""Hessen"" />"
MS;Münster;Stadt Münster (Westfalen);"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
MSE;Mecklenburgische Seenplatte;Landkreis Mecklenburgische Seenplatte ohne Neubrandenburg;"Mecklenburg-Vorpommern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Mecklenburg-Vorpommern.svg"" class=""flagfull"" alt=""Mecklenburg Vorpommern"" />"
MSH;Mansfeld-Südharz;Landkreis Mansfeld-Südharz;"Sachsen-Anhalt <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen-Anhalt.svg"" class=""flagfull"" alt=""Sachsen-Anhalt"" />"
MSP;Main-Spessart;Landkreis Main-Spessart;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
MST*;Mecklenburg-Strelitz;Landkreis Mecklenburgische Seenplatte ohne Neubrandenburg;"Mecklenburg-Vorpommern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Mecklenburg-Vorpommern.svg"" class=""flagfull"" alt=""Mecklenburg Vorpommern"" />"
MTK;Main-Taunus-Kreis;Main-Taunus-Kreis;"Hessen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Hessen.svg"" class=""flagfull"" alt=""Hessen"" />"
MTL;Muldentalkreis;Landkreis Leipzig;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
MÜ;Mühldorf am Inn;Landkreis Mühldorf am Inn;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
MÜB*;Münchberg;Landkreis Bayreuth;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
MÜR*;Müritz;Landkreis Mecklenburgische Seenplatte ohne Neubrandenburg;"Mecklenburg-Vorpommern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Mecklenburg-Vorpommern.svg"" class=""flagfull"" alt=""Mecklenburg Vorpommern"" />"
MVL;Land Mecklenburg-Vorpommern;Landesregierung, Landtag und Polizei;"Mecklenburg-Vorpommern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Mecklenburg-Vorpommern.svg"" class=""flagfull"" alt=""Mecklenburg Vorpommern"" />"
MW*;Mittweida;Landkreis Mittelsachsen;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
MY*;Mayen;Landkreis Mayen-Koblenz;"Rheinland-Pfalz <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Rheinland-Pfalz.svg"" class=""flagfull"" alt=""Rheinland-Pfalz"" />"
MYK;Mayen-Koblenz;Landkreis Mayen-Koblenz;"Rheinland-Pfalz <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Rheinland-Pfalz.svg"" class=""flagfull"" alt=""Rheinland-Pfalz"" />"
MZ;Mainz;Stadt Mainz & Landkreis Mainz-Bingen;"Rheinland-Pfalz <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Rheinland-Pfalz.svg"" class=""flagfull"" alt=""Rheinland-Pfalz"" />"
MZG;Merzig;Landkreis Merzig-Wadern;"Saarland <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Saarland.svg"" class=""flagfull"" alt=""Saarland"" />"
N;Nürnberg;Stadt Nürnberg & Landkreis Nürnberger Land;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
NAB*;Nabburg;Landkreise Amberg-Sulzbach & Schwandorf;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
NB;Neubrandenburg;Stadt Neubrandenburg;"Mecklenburg-Vorpommern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Mecklenburg-Vorpommern.svg"" class=""flagfull"" alt=""Mecklenburg Vorpommern"" />"
ND;Neuburg an der Donau;Landkreis Neuburg-Schrobenhausen;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
NDH;Nordhausen;Landkreis Nordhausen;"Thüringen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Thueringen.svg"" class=""flagfull"" alt=""Thüringen"" />"
NE;Neuss;Rhein-Kreis Neuss;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
NEA;Neustadt an der Aisch;Landkreis Neustadt an der Aisch-Bad Windsheim;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
NEB*;Nebra (Unstrut);Burgenlandkreis;"Sachsen-Anhalt <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen-Anhalt.svg"" class=""flagfull"" alt=""Sachsen-Anhalt"" />"
